"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2026 Q1","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2026 Q1","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","4.4","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","7","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","7","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.6","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","21.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","30.7","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","28.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","15.7","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","11.3","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","16.7","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","15.6","per 1,000 population","*"
"2026 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.0","per 1,000 population","*"
"2026 Q1","Birth Rates","General Fertility Rates","15-44 years","All races and origins","53","per 1,000 population","*"
"2026 Q1","Birth Rates","General Fertility Rates","15-44 years","Hispanic","61.4","per 1,000 population","*"
"2026 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","48.1","per 1,000 population","*"
"2026 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","52.1","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2026 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","11.3","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","16.7","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","15.6","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.0","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","52.4","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","71.8","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","58.6","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","45.8","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","87.9","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","106.2","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","75.8","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.3","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","94.4","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","98.7","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","71.4","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","100.3","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","54.8","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","57.8","per 1,000 population","*"
"2026 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","47.1","per 1,000 population","*"
