"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","locationid","topicid","questionid","responseid","datavaluetypeid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
"2020","2020","AR","Arkansas","NVSS","Asthma","Asthma mortality among all people, underlying cause",,"Number","Number","20.0","20.0",,,,,"Sex","Female",,,,,"POINT (-92.27449074 34.74865012400045)","05","AST","AST01",,"NMBR","SEX","SEXF",,,,
"2019","2019","IA","Iowa","NVSS","Asthma","Asthma mortality among all people, underlying cause",,"Number","Number","32.0","32.0",,,,,"Sex","Female",,,,,"POINT (-93.81649056 42.46940091300047)","19","AST","AST01",,"NMBR","SEX","SEXF",,,,
"2021","2021","CO","Colorado","BRFSS","Asthma","Current asthma among adults",,"%","Crude Prevalence","8.1","8.1",,,"7.2","9.0","Sex","Male",,,,,"POINT (-106.1336109 38.843840757000464)","08","AST","AST02",,"CRDPREV","SEX","SEXM",,,,
"2023","2023","KY","Kentucky","BRFSS","Asthma","Current asthma among adults",,"%","Crude Prevalence",,,"*","No data available",,,"Age","Age >=65",,,,,"POINT (-84.77497105 37.645970271000465)","21","AST","AST02",,"CRDPREV","AGE","AGE65P",,,,
"2023","2023","MD","Maryland","BRFSS","Asthma","Current asthma among adults",,"%","Crude Prevalence","10.1","10.1",,,"8.8","11.6","Age","Age >=65",,,,,"POINT (-76.60926011 39.29058096400047)","24","AST","AST02",,"CRDPREV","AGE","AGE65P",,,,
"2015","2019","VA","Virginia","US Cancer DVT","Cancer","Invasive cancer (all sites combined), incidence",,"Number","Number","21053.0","21053.0",,,,,"Sex","Male",,,,,"POINT (-78.45789046 37.54268067400045)","51","CAN","CAN07",,"NMBR","SEX","SEXM",,,,
"2017","2021","CO","Colorado","US Cancer DVT","Cancer","Invasive cancer (all sites combined) mortality among all people, underlying cause",,"Number","Number","3793.0","3793.0",,,,,"Sex","Female",,,,,"POINT (-106.1336109 38.843840757000464)","08","CAN","CAN08",,"NMBR","SEX","SEXF",,,,
"2016","2020","NV","Nevada","US Cancer DVT","Cancer","Invasive cancer (all sites combined) mortality among all people, underlying cause",,"Number","Number","2466.0","2466.0",,,,,"Sex","Female",,,,,"POINT (-117.0718406 39.493240390000494)","32","CAN","CAN08",,"NMBR","SEX","SEXF",,,,
"2017","2021","WI","Wisconsin","US Cancer DVT","Cancer","Invasive cancer (all sites combined) mortality among all people, underlying cause",,"Number","Number","11454.0","11454.0",,,,,"Overall","Overall",,,,,"POINT (-89.81637074 44.39319117400049)","55","CAN","CAN08",,"NMBR","OVERALL","OVR",,,,
"2020","2020","US","United States","BRFSS","Cancer","Mammography use among women aged 50-74 years",,"%","Crude Prevalence","73.9","73.9",,,"72.1","75.6","Race/Ethnicity","White, non-Hispanic",,,,,,"59","CAN","CAN09",,"CRDPREV","RACE","WHT",,,,
"2023","2023","NY","New York","BRFSS","Cardiovascular Disease","High blood pressure among adults",,"%","Crude Prevalence","33.6","33.6",,,"32.1","35.2","Sex","Male",,,,,"POINT (-75.54397043 42.82700103200045)","36","CVD","CVD01",,"CRDPREV","SEX","SEXM",,,,
"2021","2021","OK","Oklahoma","BRFSS","Cardiovascular Disease","High blood pressure among adults",,"%","Crude Prevalence","38.9","38.9",,,"37.3","40.5","Overall","Overall",,,,,"POINT (-97.52107021 35.47203135600046)","40","CVD","CVD01",,"CRDPREV","OVERALL","OVR",,,,
"2021","2021","VA","Virginia","BRFSS","Cardiovascular Disease","High blood pressure among adults",,"%","Crude Prevalence","32.0","32.0",,,"30.3","33.7","Sex","Female",,,,,"POINT (-78.45789046 37.54268067400045)","51","CVD","CVD01",,"CRDPREV","SEX","SEXF",,,,
