"week_end","condition","percent_visits","age_group"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","13.7","Infants 0-1"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","11.5","Kids 2-4"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","5.1","Kids 5-17"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","1.8","Adults 18-49"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","1.0","Adults 50-64"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","0.6","Seniors 65+"
"2023-10-07T00:00:00.000","Acute upper respiratory infection","2.5","Overall"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","14.0","Infants 0-1"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","12.3","Kids 2-4"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","5.4","Kids 5-17"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","1.9","Adults 18-49"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","1.1","Adults 50-64"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2023-10-14T00:00:00.000","Acute upper respiratory infection","2.7","Overall"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","14.0","Infants 0-1"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","12.3","Kids 2-4"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","5.5","Kids 5-17"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","2.0","Adults 18-49"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","1.1","Adults 50-64"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2023-10-21T00:00:00.000","Acute upper respiratory infection","2.7","Overall"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","14.2","Infants 0-1"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","12.9","Kids 2-4"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","5.9","Kids 5-17"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","2.0","Adults 18-49"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","1.2","Adults 50-64"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2023-10-28T00:00:00.000","Acute upper respiratory infection","2.9","Overall"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","15.0","Infants 0-1"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","13.3","Kids 2-4"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","6.6","Kids 5-17"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","2.3","Adults 18-49"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","1.3","Adults 50-64"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","0.7","Seniors 65+"
"2023-11-04T00:00:00.000","Acute upper respiratory infection","3.2","Overall"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","15.1","Infants 0-1"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","13.8","Kids 2-4"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","7.1","Kids 5-17"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","2.4","Adults 18-49"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","1.4","Adults 50-64"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2023-11-11T00:00:00.000","Acute upper respiratory infection","3.4","Overall"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","15.1","Infants 0-1"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","13.7","Kids 2-4"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","7.1","Kids 5-17"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","2.5","Adults 18-49"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","1.5","Adults 50-64"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","0.9","Seniors 65+"
"2023-11-18T00:00:00.000","Acute upper respiratory infection","3.5","Overall"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","15.1","Infants 0-1"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","13.5","Kids 2-4"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","7.2","Kids 5-17"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","2.5","Adults 18-49"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","1.6","Adults 50-64"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","1.0","Seniors 65+"
"2023-11-25T00:00:00.000","Acute upper respiratory infection","3.6","Overall"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","15.4","Infants 0-1"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","13.3","Kids 2-4"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","6.8","Kids 5-17"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","2.9","Adults 18-49"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","1.8","Adults 50-64"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","1.1","Seniors 65+"
"2023-12-02T00:00:00.000","Acute upper respiratory infection","3.7","Overall"
"2023-12-09T00:00:00.000","Acute upper respiratory infection","14.2","Infants 0-1"
"2023-12-09T00:00:00.000","Acute upper respiratory infection","13.0","Kids 2-4"
"2023-12-09T00:00:00.000","Acute upper respiratory infection","6.8","Kids 5-17"
