"vaccine","geographic_level","geographic_name","month_week","week_ending","estimate","ci_half_width_90pct","ci_half_width_95pct","unweighted_sample_size","suppression_flag"
"RSV","Substate","Illinois-City of Chicago","October Week 1","2023-09-30T00:00:00.000","2.527","2.9653","3.5332","1538","0"
"RSV","Substate","Illinois-City of Chicago","October Week 1","2023-09-30T00:00:00.000",,,,"1538","1"
"RSV","Substate","Illinois-City of Chicago","October Week 1","2023-09-30T00:00:00.000",,,,"23","1"
"RSV","Substate","Illinois-City of Chicago","October Week 1","2023-09-30T00:00:00.000",,,,"23","1"
"RSV","Substate","Illinois-City of Chicago","October Week 1","2023-09-30T00:00:00.000",,,,"23","1"
"RSV","Substate","Illinois-Rest of State","October Week 1","2023-09-30T00:00:00.000","5.9033","0.9921","1.182","4789","0"
"RSV","Substate","Illinois-Rest of State","October Week 1","2023-09-30T00:00:00.000","5.9033","0.9921","1.182","4789","0"
"RSV","Substate","Illinois-Rest of State","October Week 1","2023-09-30T00:00:00.000","23.2747","5.3682","6.3962","252","0"
"RSV","Substate","Illinois-Rest of State","October Week 1","2023-09-30T00:00:00.000","47.1105","6.4068","7.6336","252","0"
"RSV","Substate","Illinois-Rest of State","October Week 1","2023-09-30T00:00:00.000","23.7115","5.088","6.0623","252","0"
"RSV","Substate","New York-New York City","October Week 1","2023-09-30T00:00:00.000","0.7157","0.4781","0.5697","790","0"
"RSV","Substate","New York-New York City","October Week 1","2023-09-30T00:00:00.000",,,,"790","1"
"RSV","Substate","New York-New York City","October Week 1","2023-09-30T00:00:00.000",,,,"23","1"
"RSV","Substate","New York-New York City","October Week 1","2023-09-30T00:00:00.000",,,,"23","1"
"RSV","Substate","New York-New York City","October Week 1","2023-09-30T00:00:00.000",,,,"23","1"
"RSV","Substate","New York-Rest of State","October Week 1","2023-09-30T00:00:00.000","3.7076","2.8009","3.3372","3297","0"
"RSV","Substate","New York-Rest of State","October Week 1","2023-09-30T00:00:00.000","3.7076","2.8009","3.3372","3297","0"
"RSV","Substate","New York-Rest of State","October Week 1","2023-09-30T00:00:00.000","18.9769","7.4326","8.8558","109","0"
"RSV","Substate","New York-Rest of State","October Week 1","2023-09-30T00:00:00.000","60.5988","9.2776","11.0542","109","0"
"RSV","Substate","New York-Rest of State","October Week 1","2023-09-30T00:00:00.000","16.7166","7.0176","8.3615","109","0"
"RSV","Substate","Pennsylvania-Philadelphia County","October Week 1","2023-09-30T00:00:00.000","3.5243","0.7151","0.852","2486","0"
"RSV","Substate","Pennsylvania-Philadelphia County","October Week 1","2023-09-30T00:00:00.000","3.5243","0.7151","0.852","2486","0"
"RSV","Substate","Pennsylvania-Philadelphia County","October Week 1","2023-09-30T00:00:00.000","21.8861","5.5184","6.5752","210","0"
"RSV","Substate","Pennsylvania-Philadelphia County","October Week 1","2023-09-30T00:00:00.000","53.9642","6.9535","8.285","210","0"
"RSV","Substate","Pennsylvania-Philadelphia County","October Week 1","2023-09-30T00:00:00.000","20.6254","5.4901","6.5414","210","0"
"RSV","Substate","Pennsylvania-Rest of State","October Week 1","2023-09-30T00:00:00.000","3.9873","0.5782","0.6889","5024","0"
"RSV","Substate","Pennsylvania-Rest of State","October Week 1","2023-09-30T00:00:00.000","3.9873","0.5782","0.6889","5024","0"
"RSV","Substate","Pennsylvania-Rest of State","October Week 1","2023-09-30T00:00:00.000","18.7869","7.4482","8.8744","166","0"
"RSV","Substate","Pennsylvania-Rest of State","October Week 1","2023-09-30T00:00:00.000","53.8987","9.8383","11.7222","166","0"
"RSV","Substate","Pennsylvania-Rest of State","October Week 1","2023-09-30T00:00:00.000","23.3271","7.9155","9.4313","166","0"
"RSV","Substate","Texas-Bexar County","October Week 1","2023-09-30T00:00:00.000","7.2149","4.2526","5.067","3385","0"
"RSV","Substate","Texas-Bexar County","October Week 1","2023-09-30T00:00:00.000","7.2149","4.2526","5.067","3385","0"
"RSV","Substate","Texas-Bexar County","October Week 1","2023-09-30T00:00:00.000","24.8312","7.3218","8.7238","115","0"
"RSV","Substate","Texas-Bexar County","October Week 1","2023-09-30T00:00:00.000","51.4353","8.6099","10.2586","115","0"
"RSV","Substate","Texas-Bexar County","October Week 1","2023-09-30T00:00:00.000","16.5185","6.566","7.8233","115","0"
"RSV","Substate","Texas-City of Houston","October Week 1","2023-09-30T00:00:00.000","7.3619","1.8618","2.2183","2990","0"
"RSV","Substate","Texas-City of Houston","October Week 1","2023-09-30T00:00:00.000","7.3619","1.8618","2.2183","2990","0"
"RSV","Substate","Texas-City of Houston","October Week 1","2023-09-30T00:00:00.000","22.882","7.1348","8.501","94","0"
"RSV","Substate","Texas-City of Houston","October Week 1","2023-09-30T00:00:00.000","57.0685","8.6917","10.3561","94","0"
"RSV","Substate","Texas-City of Houston","October Week 1","2023-09-30T00:00:00.000","12.6875","5.658","6.7415","94","0"
"RSV","Substate","Texas-Rest of State","October Week 1","2023-09-30T00:00:00.000","4.7519","3.5979","4.2869","3331","0"
"RSV","Substate","Texas-Rest of State","October Week 1","2023-09-30T00:00:00.000","4.7519","3.5979","4.2869","3331","0"
"RSV","Substate","Texas-Rest of State","October Week 1","2023-09-30T00:00:00.000","20.4134","10.2739","12.2412","90","0"
"RSV","Substate","Texas-Rest of State","October Week 1","2023-09-30T00:00:00.000","51.4679","11.199","13.3435","90","0"
"RSV","Substate","Texas-Rest of State","October Week 1","2023-09-30T00:00:00.000","23.3667","10.2277","12.1862","90","0"
"RSV","Substate","Illinois-City of Chicago","October Week 2","2023-10-07T00:00:00.000","6.5583","1.2162","1.4491","1538","0"
"RSV","Substate","Illinois-City of Chicago","October Week 2","2023-10-07T00:00:00.000",,,,"1538","1"
"RSV","Substate","Illinois-City of Chicago","October Week 2","2023-10-07T00:00:00.000",,,,"11","1"
"RSV","Substate","Illinois-City of Chicago","October Week 2","2023-10-07T00:00:00.000",,,,"11","1"
"RSV","Substate","Illinois-City of Chicago","October Week 2","2023-10-07T00:00:00.000",,,,"11","1"
"RSV","Substate","Illinois-Rest of State","October Week 2","2023-10-07T00:00:00.000","5.9033","0.9921","1.182","4789","0"
"RSV","Substate","Illinois-Rest of State","October Week 2","2023-10-07T00:00:00.000","5.9033","0.9921","1.182","4789","0"
"RSV","Substate","Illinois-Rest of State","October Week 2","2023-10-07T00:00:00.000","21.6643","4.5511","5.4226","314","0"
"RSV","Substate","Illinois-Rest of State","October Week 2","2023-10-07T00:00:00.000","48.1517","5.5493","6.612","314","0"
"RSV","Substate","Illinois-Rest of State","October Week 2","2023-10-07T00:00:00.000","24.2806","4.9365","5.8818","314","0"
"RSV","Substate","New York-New York City","October Week 2","2023-10-07T00:00:00.000","6.3381","1.7015","2.0273","790","0"
"RSV","Substate","New York-New York City","October Week 2","2023-10-07T00:00:00.000",,,,"790","1"
"RSV","Substate","New York-New York City","October Week 2","2023-10-07T00:00:00.000",,,,"8","1"
"RSV","Substate","New York-New York City","October Week 2","2023-10-07T00:00:00.000",,,,"8","1"
