"level","perc_diff","pcr_percent_positive","percent_pos_2_week","percent_pos_4_week","pcr_detections","detections_2_week","detections_4_week","pcr_tests","posted","mmwrweek_end"
"National","-0.6","1","1.5","1.3","151","1259","5269",,"2023-09-21T23:36:00.000","2020-04-11T00:00:00.000"
"National","-0.3","0.6","0.9","1.4","75","493","3255",,"2023-09-21T23:36:00.000","2020-04-18T00:00:00.000"
"National","-0.2","0.5","0.6","1.1","50","226","1485",,"2023-09-21T23:36:00.000","2020-04-25T00:00:00.000"
"National","-0.1","0.5","0.3","0.6","40","125","618",,"2023-09-21T23:36:00.000","2020-05-02T00:00:00.000"
"National","-0.1","0.3","0.3","0.3","20","90","316",,"2023-09-21T23:36:00.000","2020-05-09T00:00:00.000"
"National","-0.1","0.2","0.2","0.2","14","60","185",,"2023-09-21T23:36:00.000","2020-05-16T00:00:00.000"
"National","0","0.2","0.1","0.1","12","34","124",,"2023-09-21T23:36:00.000","2020-05-23T00:00:00.000"
"National","0","0.2","0.1","0.1","13","26","86",,"2023-09-21T23:36:00.000","2020-05-30T00:00:00.000"
"National","0","0.1","0.1","0.1","8","25","59",,"2023-09-21T23:36:00.000","2020-06-06T00:00:00.000"
"National","0","0.2","0.1","0.1","11","21","47",,"2023-09-21T23:36:00.000","2020-06-13T00:00:00.000"
"National","0","0.3","0.1","0.1","19","19","44",,"2023-09-21T23:36:00.000","2020-06-20T00:00:00.000"
"National","0","0.1","0.1","0.1","7","30","51",,"2023-09-21T23:36:00.000","2020-06-27T00:00:00.000"
"National","-0.1","0.1","0.2","0","6","26","45",,"2023-09-21T23:36:00.000","2020-07-04T00:00:00.000"
"National","0","0.2","0.1","0","12","13","43",,"2023-09-21T23:36:00.000","2020-07-11T00:00:00.000"
"National","0","0.3","0","0.1","21","18","44",,"2023-09-21T23:36:00.000","2020-07-18T00:00:00.000"
"National","0","0.1","0.1","0","10","33","46",,"2023-09-21T23:36:00.000","2020-07-25T00:00:00.000"
"National","-0.1","0.1","0.1","0","10","31","49",,"2023-09-21T23:36:00.000","2020-08-01T00:00:00.000"
"National","0","0.1","0.1","0","5","20","53",,"2023-09-21T23:36:00.000","2020-08-08T00:00:00.000"
"National","0","0.1","0.1","0.1","6","15","46",,"2023-09-21T23:36:00.000","2020-08-15T00:00:00.000"
"National","0","0.1","0","0","6","11","31",,"2023-09-21T23:36:00.000","2020-08-22T00:00:00.000"
"National","0","0.1","0","0","10","12","27",,"2023-09-21T23:36:00.000","2020-08-29T00:00:00.000"
"National","0","0","0","0","1","16","27",,"2023-09-21T23:36:00.000","2020-09-05T00:00:00.000"
"National","0","0.1","0.1","0","6","11","23",,"2023-09-21T23:36:00.000","2020-09-12T00:00:00.000"
"National","0","0.1","0","0","5","7","23",,"2023-09-21T23:36:00.000","2020-09-19T00:00:00.000"
"National","0","0.1","0","0","8","11","22",,"2023-09-21T23:36:00.000","2020-09-26T00:00:00.000"
"National","0","0","0","0","5","13","20",,"2023-09-21T23:36:00.000","2020-10-03T00:00:00.000"
"National","0","0.1","0","0","14","13","24",,"2023-09-21T23:36:00.000","2020-10-10T00:00:00.000"
"National","0","0.1","0","0","15","19","32",,"2023-09-21T23:36:00.000","2020-10-17T00:00:00.000"
"National","0","0","0.1","0","6","29","42",,"2023-09-21T23:36:00.000","2020-10-24T00:00:00.000"
"National","0","0.1","0.1","0","22","21","40",,"2023-09-21T23:36:00.000","2020-10-31T00:00:00.000"
"National","0","0.1","0","0","13","28","57",,"2023-09-21T23:36:00.000","2020-11-07T00:00:00.000"
"National","0","0.1","0.1","0","13","35","56",,"2023-09-21T23:36:00.000","2020-11-14T00:00:00.000"
"National","0","0","0","0","7","26","54",,"2023-09-21T23:36:00.000","2020-11-21T00:00:00.000"
"National","0","0","0","0","6","20","55",,"2023-09-21T23:36:00.000","2020-11-28T00:00:00.000"
"National","0.1","0.1","0","0","21","13","39",,"2023-09-21T23:36:00.000","2020-12-05T00:00:00.000"
"National","0","0.2","0","0","58","27","47",,"2023-09-21T23:36:00.000","2020-12-12T00:00:00.000"
"National","0","0.1","0","0","13","79","92",,"2023-09-21T23:36:00.000","2020-12-19T00:00:00.000"
"National","-0.1","0","0.1","0","8","71","98",,"2023-09-21T23:36:00.000","2020-12-26T00:00:00.000"
"National","0","0.1","0","0","17","21","100",,"2023-09-21T23:36:00.000","2021-01-02T00:00:00.000"
"National","0","0.1","0","0.1","19","25","96",,"2023-09-21T23:36:00.000","2021-01-09T00:00:00.000"
"National","0","0.1","0","0","17","36","57",,"2023-09-21T23:36:00.000","2021-01-16T00:00:00.000"
"National","0","0.1","0","0","28","36","61",,"2023-09-21T23:36:00.000","2021-01-23T00:00:00.000"
"National","0","0.1","0","0","30","45","81",,"2023-09-21T23:36:00.000","2021-01-30T00:00:00.000"
"National","0","0.1","0.1","0","29","58","94",,"2023-09-21T23:36:00.000","2021-02-06T00:00:00.000"
"National","0","0.1","0.1","0","32","59","104",,"2023-09-21T23:36:00.000","2021-02-13T00:00:00.000"
