date,covid_new_admissions,flu_new_admissions,rsv_new_admissions,covid_inpatients,flu_inpatients,rsv_inpatients,covid_icu,flu_icu,rsv_icu
2020-08-08,38947,0,0,61435,2,0,17525,2,0
2020-08-15,36582,0,0,54859,0,0,15807,0,0
2020-08-22,36814,0,0,49578,0,0,14149,0,0
2020-08-29,35403,0,0,42442,0,0,12578,0,0
2020-09-05,32759,0,0,38177,0,0,11207,0,0
2020-09-12,29745,0,0,32046,0,0,10346,0,0
2020-09-19,27689,0,0,29277,0,0,9402,0,0
2020-09-26,27917,0,0,28851,0,0,9035,0,0
2020-10-03,31689,0,0,30861,0,0,9574,0,0
2020-10-10,37240,0,0,33943,0,0,10084,0,0
2020-10-17,40641,4,0,37633,21,0,10836,6,0
2020-10-24,45655,241,0,42253,223,0,12005,47,0
2020-10-31,50583,470,0,47940,346,0,13126,67,0
2020-11-07,59050,520,0,54958,435,0,14651,93,0
2020-11-14,74202,653,0,67949,506,0,16978,98,0
2020-11-21,86506,608,0,82544,558,0,20180,93,0
2020-11-28,91013,684,0,93102,585,0,22900,109,0
2020-12-05,101704,658,0,104273,678,0,25279,114,0
2020-12-12,107910,640,0,111278,682,0,26914,114,0
2020-12-19,112354,766,0,119262,725,0,28566,126,0
2020-12-26,113004,750,0,124751,798,0,29633,149,0
2021-01-02,120390,738,0,132286,793,0,30717,144,0
2021-01-09,127636,596,0,138889,724,0,31755,159,0
2021-01-16,119258,648,0,137867,640,0,32308,162,0
2021-01-23,105666,715,0,126596,522,0,30307,121,0
2021-01-30,90261,551,0,110845,488,0,27202,110,0
2021-02-06,77840,506,0,94300,459,0,24061,88,0
2021-02-13,63559,463,0,78729,461,0,20679,80,0
2021-02-20,51307,480,0,64725,442,0,17272,90,0
2021-02-27,46555,422,0,54106,422,0,14407,84,0
2021-03-06,39146,436,0,44822,382,0,12147,79,0
2021-03-13,37605,454,0,39617,368,0,10677,67,0
2021-03-20,36440,376,0,37021,340,0,9653,57,0
2021-03-27,37917,368,0,36662,339,0,9291,60,0
2021-04-03,39605,383,0,37704,326,0,9389,63,0
2021-04-10,42258,348,0,39740,296,0,9917,52,0
2021-04-17,44013,370,0,41729,291,0,10353,49,0
2021-04-24,41712,472,0,41814,311,0,10623,58,0
2021-05-01,37558,452,0,38754,331,0,10303,56,0
2021-05-08,33239,344,0,34948,305,0,9704,57,0
2021-05-15,28353,274,0,30469,273,0,8734,43,0
2021-05-22,25136,294,0,26239,260,0,7692,42,0
2021-05-29,22584,247,0,22831,243,0,6685,38,0
2021-06-05,18435,252,0,19236,235,0,5821,40,0
2021-06-12,16403,231,0,16332,243,0,4951,39,0
2021-06-19,14709,214,0,14253,218,0,4227,26,0
2021-06-26,13857,204,0,12844,214,0,3845,32,0
2021-07-03,15170,221,0,13364,216,0,3883,28,0
2021-07-10,18529,243,0,15197,231,0,4374,31,0
