year,month,drug_code,drug_name,deaths,provisional
2021,1,T40.1,Heroin,966,true
2021,1,T40.2,Other opioids (natural & semi-synthetic),1246,true
2021,1,T40.3,Methadone,363,true
2021,1,T40.4,Synthetic opioids excl. methadone (fentanyl),5656,true
2021,1,T40.5,Cocaine,1926,true
2021,1,T40.7,Cannabis,128,true
2021,1,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2811,true
2021,2,T40.1,Heroin,765,true
2021,2,T40.2,Other opioids (natural & semi-synthetic),1127,true
2021,2,T40.3,Methadone,329,true
2021,2,T40.4,Synthetic opioids excl. methadone (fentanyl),5005,true
2021,2,T40.5,Cocaine,1707,true
2021,2,T40.7,Cannabis,134,true
2021,2,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2483,true
2021,3,T40.1,Heroin,992,true
2021,3,T40.2,Other opioids (natural & semi-synthetic),1285,true
2021,3,T40.3,Methadone,353,true
2021,3,T40.4,Synthetic opioids excl. methadone (fentanyl),6373,true
2021,3,T40.5,Cocaine,2222,true
2021,3,T40.7,Cannabis,123,true
2021,3,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3062,true
2021,4,T40.1,Heroin,925,true
2021,4,T40.2,Other opioids (natural & semi-synthetic),1314,true
2021,4,T40.3,Methadone,345,true
2021,4,T40.4,Synthetic opioids excl. methadone (fentanyl),6409,true
2021,4,T40.5,Cocaine,2371,true
2021,4,T40.7,Cannabis,139,true
2021,4,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3105,true
2021,5,T40.1,Heroin,829,true
2021,5,T40.2,Other opioids (natural & semi-synthetic),1264,true
2021,5,T40.3,Methadone,342,true
2021,5,T40.4,Synthetic opioids excl. methadone (fentanyl),6294,true
2021,5,T40.5,Cocaine,2264,true
2021,5,T40.7,Cannabis,138,true
2021,5,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3103,true
2021,6,T40.1,Heroin,735,true
2021,6,T40.2,Other opioids (natural & semi-synthetic),1196,true
2021,6,T40.3,Methadone,303,true
2021,6,T40.4,Synthetic opioids excl. methadone (fentanyl),6080,true
2021,6,T40.5,Cocaine,2167,true
2021,6,T40.7,Cannabis,104,true
2021,6,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3041,true
2021,7,T40.1,Heroin,820,true
2021,7,T40.2,Other opioids (natural & semi-synthetic),1196,true
2021,7,T40.3,Methadone,302,true
2021,7,T40.4,Synthetic opioids excl. methadone (fentanyl),6218,true
2021,7,T40.5,Cocaine,2266,true
2021,7,T40.7,Cannabis,126,true
2021,7,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3285,true
2021,8,T40.1,Heroin,764,true
2021,8,T40.2,Other opioids (natural & semi-synthetic),1217,true
2021,8,T40.3,Methadone,321,true
2021,8,T40.4,Synthetic opioids excl. methadone (fentanyl),6293,true
2021,8,T40.5,Cocaine,2317,true
2021,8,T40.7,Cannabis,123,true
2021,8,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3295,true
2021,9,T40.1,Heroin,702,true
2021,9,T40.2,Other opioids (natural & semi-synthetic),1156,true
2021,9,T40.3,Methadone,294,true
2021,9,T40.4,Synthetic opioids excl. methadone (fentanyl),6118,true
2021,9,T40.5,Cocaine,2230,true
2021,9,T40.7,Cannabis,117,true
2021,9,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3016,true
2021,10,T40.1,Heroin,670,true
2021,10,T40.2,Other opioids (natural & semi-synthetic),1069,true
2021,10,T40.3,Methadone,281,true
2021,10,T40.4,Synthetic opioids excl. methadone (fentanyl),6057,true
2021,10,T40.5,Cocaine,2256,true
2021,10,T40.7,Cannabis,119,true
2021,10,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2947,true
2021,11,T40.1,Heroin,589,true
2021,11,T40.2,Other opioids (natural & semi-synthetic),1058,true
2021,11,T40.3,Methadone,301,true
2021,11,T40.4,Synthetic opioids excl. methadone (fentanyl),5728,true
2021,11,T40.5,Cocaine,2127,true
2021,11,T40.7,Cannabis,98,true
2021,11,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2812,true
2021,12,T40.1,Heroin,595,true
2021,12,T40.2,Other opioids (natural & semi-synthetic),1076,true
2021,12,T40.3,Methadone,326,true
2021,12,T40.4,Synthetic opioids excl. methadone (fentanyl),5973,true
2021,12,T40.5,Cocaine,2230,true
2021,12,T40.7,Cannabis,101,true
2021,12,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2880,true
2022,1,T40.1,Heroin,631,true
2022,1,T40.2,Other opioids (natural & semi-synthetic),1129,true
2022,1,T40.3,Methadone,326,true
2022,1,T40.4,Synthetic opioids excl. methadone (fentanyl),6138,true
2022,1,T40.5,Cocaine,2280,true
2022,1,T40.7,Cannabis,138,true
2022,1,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3074,true
2022,2,T40.1,Heroin,558,true
2022,2,T40.2,Other opioids (natural & semi-synthetic),1045,true
2022,2,T40.3,Methadone,246,true
2022,2,T40.4,Synthetic opioids excl. methadone (fentanyl),5908,true
2022,2,T40.5,Cocaine,2241,true
2022,2,T40.7,Cannabis,118,true
2022,2,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2907,true
2022,3,T40.1,Heroin,581,true
2022,3,T40.2,Other opioids (natural & semi-synthetic),1074,true
2022,3,T40.3,Methadone,263,true
2022,3,T40.4,Synthetic opioids excl. methadone (fentanyl),6436,true
2022,3,T40.5,Cocaine,2439,true
2022,3,T40.7,Cannabis,136,true
2022,3,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3138,true
2022,4,T40.1,Heroin,514,true
2022,4,T40.2,Other opioids (natural & semi-synthetic),1009,true
2022,4,T40.3,Methadone,261,true
2022,4,T40.4,Synthetic opioids excl. methadone (fentanyl),6000,true
2022,4,T40.5,Cocaine,2365,true
2022,4,T40.7,Cannabis,108,true
2022,4,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2818,true
2022,5,T40.1,Heroin,495,true
2022,5,T40.2,Other opioids (natural & semi-synthetic),1030,true
2022,5,T40.3,Methadone,293,true
2022,5,T40.4,Synthetic opioids excl. methadone (fentanyl),6135,true
2022,5,T40.5,Cocaine,2421,true
2022,5,T40.7,Cannabis,117,true
2022,5,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2984,true
2022,6,T40.1,Heroin,493,true
2022,6,T40.2,Other opioids (natural & semi-synthetic),1041,true
2022,6,T40.3,Methadone,283,true
2022,6,T40.4,Synthetic opioids excl. methadone (fentanyl),6096,true
2022,6,T40.5,Cocaine,2374,true
2022,6,T40.7,Cannabis,114,true
2022,6,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3109,true
2022,7,T40.1,Heroin,508,true
2022,7,T40.2,Other opioids (natural & semi-synthetic),1097,true
2022,7,T40.3,Methadone,306,true
2022,7,T40.4,Synthetic opioids excl. methadone (fentanyl),6534,true
2022,7,T40.5,Cocaine,2470,true
2022,7,T40.7,Cannabis,122,true
2022,7,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3522,true
2022,8,T40.1,Heroin,480,true
2022,8,T40.2,Other opioids (natural & semi-synthetic),987,true
2022,8,T40.3,Methadone,317,true
2022,8,T40.4,Synthetic opioids excl. methadone (fentanyl),6479,true
2022,8,T40.5,Cocaine,2544,true
2022,8,T40.7,Cannabis,121,true
2022,8,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3152,true
2022,9,T40.1,Heroin,445,true
2022,9,T40.2,Other opioids (natural & semi-synthetic),1040,true
2022,9,T40.3,Methadone,257,true
2022,9,T40.4,Synthetic opioids excl. methadone (fentanyl),6143,true
2022,9,T40.5,Cocaine,2448,true
2022,9,T40.7,Cannabis,115,true
2022,9,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3012,true
2022,10,T40.1,Heroin,425,true
2022,10,T40.2,Other opioids (natural & semi-synthetic),1023,true
2022,10,T40.3,Methadone,294,true
2022,10,T40.4,Synthetic opioids excl. methadone (fentanyl),6594,true
2022,10,T40.5,Cocaine,2563,true
2022,10,T40.7,Cannabis,121,true
2022,10,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3102,true
2022,11,T40.1,Heroin,404,true
2022,11,T40.2,Other opioids (natural & semi-synthetic),921,true
2022,11,T40.3,Methadone,293,true
2022,11,T40.4,Synthetic opioids excl. methadone (fentanyl),6336,true
2022,11,T40.5,Cocaine,2484,true
2022,11,T40.7,Cannabis,110,true
2022,11,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2982,true
2022,12,T40.1,Heroin,452,true
2022,12,T40.2,Other opioids (natural & semi-synthetic),998,true
2022,12,T40.3,Methadone,326,true
2022,12,T40.4,Synthetic opioids excl. methadone (fentanyl),6773,true
2022,12,T40.5,Cocaine,2677,true
2022,12,T40.7,Cannabis,118,true
2022,12,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3392,true
2023,1,T40.1,Heroin,375,true
2023,1,T40.2,Other opioids (natural & semi-synthetic),939,true
2023,1,T40.3,Methadone,297,true
2023,1,T40.4,Synthetic opioids excl. methadone (fentanyl),6645,true
2023,1,T40.5,Cocaine,2690,true
2023,1,T40.7,Cannabis,119,true
2023,1,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3304,true
2023,2,T40.1,Heroin,381,true
2023,2,T40.2,Other opioids (natural & semi-synthetic),892,true
2023,2,T40.3,Methadone,269,true
2023,2,T40.4,Synthetic opioids excl. methadone (fentanyl),6078,true
2023,2,T40.5,Cocaine,2432,true
2023,2,T40.7,Cannabis,124,true
2023,2,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2980,true
2023,3,T40.1,Heroin,389,true
2023,3,T40.2,Other opioids (natural & semi-synthetic),1036,true
2023,3,T40.3,Methadone,294,true
2023,3,T40.4,Synthetic opioids excl. methadone (fentanyl),6826,true
2023,3,T40.5,Cocaine,2825,true
